seq1	seq2	score	gap_open	gap_extend	label
prot-0056	prot-0826	53.0	1	1	Negative
prot-0075	prot-0561	236.0	1	1	Negative
prot-0093	prot-0091	82.0	1	1	Negative
prot-0110	prot-0613	121.0	1	1	Negative
prot-0131	prot-0547	189.0	1	1	Negative
prot-0148	prot-0369	46.0	1	1	Negative
prot-0166	prot-0839	95.0	1	1	Negative
prot-0186	prot-0014	49.0	1	1	Negative
prot-0206	prot-0313	232.0	1	1	Negative
prot-0228	prot-0121	63.0	1	1	Negative
prot-0244	prot-0817	121.0	1	1	Negative
prot-0262	prot-0540	238.0	1	1	Negative
prot-0286	prot-0641	139.0	1	1	Negative
prot-0305	prot-0785	164.0	1	1	Negative
prot-0326	prot-0712	108.0	1	1	Negative
prot-0346	prot-0063	68.0	1	1	Negative
prot-0363	prot-0345	45.0	1	1	Negative
prot-0380	prot-0553	261.0	1	1	Negative
prot-0397	prot-0470	271.0	1	1	Negative
prot-0414	prot-0903	93.0	1	1	Negative
prot-0431	prot-0093	94.0	1	1	Negative
prot-0446	prot-0424	236.0	1	1	Negative
prot-0469	prot-0609	245.0	1	1	Negative
prot-0486	prot-0314	99.0	1	1	Negative
prot-0503	prot-0454	172.0	1	1	Negative
prot-0520	prot-0088	168.0	1	1	Negative
prot-0536	prot-0452	285.0	1	1	Negative
prot-0552	prot-0460	128.0	1	1	Negative
prot-0571	prot-0711	327.0	1	1	Negative
prot-0595	prot-0503	193.0	1	1	Negative
prot-0616	prot-0819	162.0	1	1	Negative
prot-0631	prot-0386	145.0	1	1	Negative
prot-0648	prot-0022	87.0	1	1	Negative
prot-0665	prot-0100	95.0	1	1	Negative
prot-0682	prot-0873	57.0	1	1	Negative
prot-0699	prot-0760	147.0	1	1	Negative
prot-0716	prot-0710	116.0	1	1	Negative
prot-0734	prot-0108	75.0	1	1	Negative
prot-0750	prot-0875	47.0	1	1	Negative
prot-0772	prot-0886	62.0	1	1	Negative
prot-0791	prot-0245	181.0	1	1	Negative
prot-0805	prot-0261	161.0	1	1	Negative
prot-0821	prot-0591	265.0	1	1	Negative
prot-0843	prot-0026	82.0	1	1	Negative
prot-0860	prot-0510	89.0	1	1	Negative
prot-0878	prot-0524	36.0	1	1	Negative
prot-0900	prot-0264	59.0	1	1	Negative
prot-0915	prot-0407	132.0	1	1	Negative
prot-0004	prot-0008	111.0	1	2	Positive
prot-0031	prot-0034	117.0	1	2	Positive
prot-0047	prot-0050	117.0	1	2	Positive
prot-0065	prot-0069	122.0	1	2	Positive
prot-0077	prot-0082	169.0	1	2	Positive
prot-0098	prot-0102	55.0	1	2	Positive
prot-0124	prot-0125	309.0	1	2	Positive
prot-0166	prot-0177	88.0	1	2	Positive
prot-0170	prot-0173	97.0	1	2	Positive
prot-0175	prot-0178	86.0	1	2	Positive
prot-0187	prot-0190	116.0	1	2	Positive
prot-0240	prot-0242	108.0	1	2	Positive
prot-0271	prot-0275	231.0	1	2	Positive
prot-0298	prot-0300	152.0	1	2	Positive
prot-0326	prot-0327	137.0	1	2	Positive
prot-0354	prot-0355	168.0	1	2	Positive
prot-0357	prot-0360	113.0	1	2	Positive
prot-0361	prot-0364	344.0	1	2	Positive
prot-0369	prot-0370	221.0	1	2	Positive
prot-0380	prot-0384	276.0	1	2	Positive
prot-0384	prot-0392	277.0	1	2	Positive
prot-0410	prot-0412	202.0	1	2	Positive
prot-0459	prot-0461	191.0	1	2	Positive
prot-0465	prot-0466	184.0	1	2	Positive
prot-0484	prot-0485	108.0	1	2	Positive
prot-0507	prot-0509	131.0	1	2	Positive
prot-0533	prot-0534	257.0	1	2	Positive
prot-0570	prot-0572	194.0	1	2	Positive
prot-0580	prot-0615	122.0	1	2	Positive
prot-0582	prot-0586	115.0	1	2	Positive
prot-0583	prot-0598	159.0	1	2	Positive
prot-0584	prot-0611	174.0	1	2	Positive
prot-0586	prot-0590	164.0	1	2	Positive
prot-0587	prot-0606	168.0	1	2	Positive
prot-0589	prot-0591	211.0	1	2	Positive
prot-0590	prot-0610	119.0	1	2	Positive
prot-0592	prot-0601	216.0	1	2	Positive
prot-0594	prot-0596	159.0	1	2	Positive
prot-0595	prot-0620	158.0	1	2	Positive
prot-0597	prot-0621	96.0	1	2	Positive
prot-0600	prot-0605	102.0	1	2	Positive
prot-0602	prot-0616	114.0	1	2	Positive
prot-0605	prot-0615	105.0	1	2	Positive
prot-0609	prot-0611	196.0	1	2	Positive
prot-0614	prot-0616	201.0	1	2	Positive
prot-0659	prot-0661	150.0	1	2	Positive
prot-0735	prot-0736	316.0	1	2	Positive
prot-0776	prot-0779	319.0	1	2	Positive
prot-0829	prot-0832	79.0	1	2	Positive
prot-0860	prot-0862	74.0	1	2	Positive
prot-0018	prot-0198	82.0	1	2	Negative
prot-0035	prot-0071	69.0	1	2	Negative
prot-0056	prot-0826	45.0	1	2	Negative
prot-0075	prot-0561	179.0	1	2	Negative
prot-0093	prot-0091	69.0	1	2	Negative
prot-0110	prot-0613	96.0	1	2	Negative
prot-0131	prot-0547	144.0	1	2	Negative
prot-0148	prot-0369	38.0	1	2	Negative
prot-0166	prot-0839	70.0	1	2	Negative
prot-0186	prot-0014	39.0	1	2	Negative
prot-0206	prot-0313	163.0	1	2	Negative
prot-0228	prot-0121	53.0	1	2	Negative
prot-0244	prot-0817	91.0	1	2	Negative
prot-0262	prot-0540	181.0	1	2	Negative
prot-0286	prot-0641	112.0	1	2	Negative
prot-0305	prot-0785	134.0	1	2	Negative
prot-0326	prot-0712	83.0	1	2	Negative
prot-0346	prot-0063	62.0	1	2	Negative
prot-0363	prot-0345	35.0	1	2	Negative
prot-0380	prot-0553	190.0	1	2	Negative
prot-0397	prot-0470	190.0	1	2	Negative
prot-0414	prot-0903	79.0	1	2	Negative
prot-0431	prot-0093	68.0	1	2	Negative
prot-0446	prot-0424	175.0	1	2	Negative
prot-0469	prot-0609	179.0	1	2	Negative
prot-0486	prot-0314	75.0	1	2	Negative
prot-0503	prot-0454	125.0	1	2	Negative
prot-0520	prot-0088	132.0	1	2	Negative
prot-0536	prot-0452	223.0	1	2	Negative
prot-0552	prot-0460	103.0	1	2	Negative
prot-0571	prot-0711	256.0	1	2	Negative
prot-0595	prot-0503	141.0	1	2	Negative
prot-0616	prot-0819	121.0	1	2	Negative
prot-0631	prot-0386	103.0	1	2	Negative
prot-0648	prot-0022	71.0	1	2	Negative
prot-0665	prot-0100	77.0	1	2	Negative
prot-0682	prot-0873	41.0	1	2	Negative
prot-0699	prot-0760	118.0	1	2	Negative
prot-0716	prot-0710	89.0	1	2	Negative
prot-0734	prot-0108	63.0	1	2	Negative
prot-0750	prot-0875	28.0	1	2	Negative
prot-0772	prot-0886	43.0	1	2	Negative
prot-0791	prot-0245	137.0	1	2	Negative
prot-0805	prot-0261	128.0	1	2	Negative
prot-0821	prot-0591	189.0	1	2	Negative
prot-0843	prot-0026	65.0	1	2	Negative
prot-0860	prot-0510	68.0	1	2	Negative
prot-0878	prot-0524	27.0	1	2	Negative
prot-0900	prot-0264	52.0	1	2	Negative
prot-0915	prot-0407	91.0	1	2	Negative
prot-0004	prot-0008	87.0	1	3	Positive
prot-0031	prot-0034	100.0	1	3	Positive
prot-0047	prot-0050	100.0	1	3	Positive
prot-0065	prot-0069	108.0	1	3	Positive
prot-0077	prot-0082	157.0	1	3	Positive
prot-0098	prot-0102	51.0	1	3	Positive
prot-0124	prot-0125	264.0	1	3	Positive
prot-0166	prot-0177	74.0	1	3	Positive
prot-0170	prot-0173	83.0	1	3	Positive
prot-0175	prot-0178	75.0	1	3	Positive
prot-0187	prot-0190	103.0	1	3	Positive
prot-0240	prot-0242	95.0	1	3	Positive
prot-0271	prot-0275	200.0	1	3	Positive
prot-0298	prot-0300	140.0	1	3	Positive
prot-0326	prot-0327	123.0	1	3	Positive
prot-0354	prot-0355	138.0	1	3	Positive
prot-0357	prot-0360	101.0	1	3	Positive
prot-0361	prot-0364	292.0	1	3	Positive
prot-0369	prot-0370	178.0	1	3	Positive
prot-0380	prot-0384	231.0	1	3	Positive
prot-0384	prot-0392	215.0	1	3	Positive
prot-0410	prot-0412	166.0	1	3	Positive
prot-0459	prot-0461	159.0	1	3	Positive
prot-0465	prot-0466	151.0	1	3	Positive
prot-0484	prot-0485	92.0	1	3	Positive
prot-0507	prot-0509	106.0	1	3	Positive
prot-0533	prot-0534	217.0	1	3	Positive
prot-0570	prot-0572	161.0	1	3	Positive
prot-0580	prot-0615	101.0	1	3	Positive
prot-0582	prot-0586	94.0	1	3	Positive
prot-0583	prot-0598	141.0	1	3	Positive
prot-0584	prot-0611	148.0	1	3	Positive
prot-0586	prot-0590	147.0	1	3	Positive
prot-0587	prot-0606	132.0	1	3	Positive
prot-0589	prot-0591	157.0	1	3	Positive
prot-0590	prot-0610	102.0	1	3	Positive
prot-0592	prot-0601	173.0	1	3	Positive
prot-0594	prot-0596	138.0	1	3	Positive
prot-0595	prot-0620	135.0	1	3	Positive
prot-0597	prot-0621	75.0	1	3	Positive
prot-0600	prot-0605	84.0	1	3	Positive
prot-0602	prot-0616	103.0	1	3	Positive
prot-0605	prot-0615	86.0	1	3	Positive
prot-0609	prot-0611	174.0	1	3	Positive
prot-0614	prot-0616	184.0	1	3	Positive
prot-0659	prot-0661	137.0	1	3	Positive
prot-0735	prot-0736	270.0	1	3	Positive
prot-0776	prot-0779	308.0	1	3	Positive
prot-0829	prot-0832	71.0	1	3	Positive
prot-0860	prot-0862	69.0	1	3	Positive
prot-0018	prot-0198	64.0	1	3	Negative
prot-0035	prot-0071	52.0	1	3	Negative
prot-0056	prot-0826	40.0	1	3	Negative
prot-0075	prot-0561	140.0	1	3	Negative
prot-0093	prot-0091	61.0	1	3	Negative
prot-0110	prot-0613	80.0	1	3	Negative
prot-0131	prot-0547	127.0	1	3	Negative
prot-0148	prot-0369	35.0	1	3	Negative
prot-0166	prot-0839	54.0	1	3	Negative
prot-0186	prot-0014	33.0	1	3	Negative
prot-0206	prot-0313	132.0	1	3	Negative
prot-0228	prot-0121	48.0	1	3	Negative
prot-0244	prot-0817	75.0	1	3	Negative
prot-0262	prot-0540	159.0	1	3	Negative
prot-0286	prot-0641	99.0	1	3	Negative
prot-0305	prot-0785	118.0	1	3	Negative
prot-0326	prot-0712	64.0	1	3	Negative
prot-0346	prot-0063	58.0	1	3	Negative
prot-0363	prot-0345	32.0	1	3	Negative
prot-0380	prot-0553	154.0	1	3	Negative
prot-0397	prot-0470	148.0	1	3	Negative
prot-0414	prot-0903	70.0	1	3	Negative
prot-0431	prot-0093	59.0	1	3	Negative
prot-0446	prot-0424	139.0	1	3	Negative
prot-0469	prot-0609	150.0	1	3	Negative
prot-0486	prot-0314	63.0	1	3	Negative
prot-0503	prot-0454	97.0	1	3	Negative
prot-0520	prot-0088	109.0	1	3	Negative
prot-0536	prot-0452	189.0	1	3	Negative
prot-0552	prot-0460	94.0	1	3	Negative
prot-0571	prot-0711	220.0	1	3	Negative
prot-0595	prot-0503	109.0	1	3	Negative
prot-0616	prot-0819	100.0	1	3	Negative
prot-0631	prot-0386	90.0	1	3	Negative
prot-0648	prot-0022	60.0	1	3	Negative
prot-0665	prot-0100	71.0	1	3	Negative
prot-0682	prot-0873	36.0	1	3	Negative
prot-0699	prot-0760	102.0	1	3	Negative
prot-0716	prot-0710	75.0	1	3	Negative
prot-0734	prot-0108	57.0	1	3	Negative
prot-0750	prot-0875	25.0	1	3	Negative
prot-0772	prot-0886	34.0	1	3	Negative
prot-0791	prot-0245	131.0	1	3	Negative
prot-0805	prot-0261	109.0	1	3	Negative
prot-0821	prot-0591	158.0	1	3	Negative
prot-0843	prot-0026	56.0	1	3	Negative
prot-0860	prot-0510	49.0	1	3	Negative
prot-0878	prot-0524	24.0	1	3	Negative
prot-0900	prot-0264	48.0	1	3	Negative
prot-0915	prot-0407	83.0	1	3	Negative
prot-0004	prot-0008	78.0	1	4	Positive
prot-0031	prot-0034	89.0	1	4	Positive
prot-0047	prot-0050	86.0	1	4	Positive
prot-0065	prot-0069	97.0	1	4	Positive
prot-0077	prot-0082	149.0	1	4	Positive
prot-0098	prot-0102	49.0	1	4	Positive
prot-0124	prot-0125	237.0	1	4	Positive
prot-0166	prot-0177	65.0	1	4	Positive
prot-0170	prot-0173	71.0	1	4	Positive
prot-0175	prot-0178	69.0	1	4	Positive
prot-0187	prot-0190	97.0	1	4	Positive
prot-0240	prot-0242	86.0	1	4	Positive
prot-0271	prot-0275	182.0	1	4	Positive
prot-0298	prot-0300	132.0	1	4	Positive
prot-0326	prot-0327	111.0	1	4	Positive
prot-0354	prot-0355	117.0	1	4	Positive
prot-0357	prot-0360	96.0	1	4	Positive
prot-0361	prot-0364	254.0	1	4	Positive
prot-0369	prot-0370	167.0	1	4	Positive
prot-0380	prot-0384	202.0	1	4	Positive
prot-0384	prot-0392	183.0	1	4	Positive
prot-0410	prot-0412	141.0	1	4	Positive
prot-0459	prot-0461	138.0	1	4	Positive
prot-0465	prot-0466	132.0	1	4	Positive
prot-0484	prot-0485	81.0	1	4	Positive
prot-0507	prot-0509	93.0	1	4	Positive
prot-0533	prot-0534	190.0	1	4	Positive
prot-0570	prot-0572	154.0	1	4	Positive
prot-0580	prot-0615	91.0	1	4	Positive
prot-0582	prot-0586	84.0	1	4	Positive
prot-0583	prot-0598	127.0	1	4	Positive
prot-0584	prot-0611	131.0	1	4	Positive
prot-0586	prot-0590	134.0	1	4	Positive
prot-0587	prot-0606	122.0	1	4	Positive
prot-0589	prot-0591	133.0	1	4	Positive
prot-0590	prot-0610	94.0	1	4	Positive
prot-0592	prot-0601	156.0	1	4	Positive
prot-0594	prot-0596	130.0	1	4	Positive
prot-0595	prot-0620	115.0	1	4	Positive
prot-0597	prot-0621	66.0	1	4	Positive
prot-0600	prot-0605	73.0	1	4	Positive
prot-0602	prot-0616	96.0	1	4	Positive
prot-0605	prot-0615	80.0	1	4	Positive
prot-0609	prot-0611	164.0	1	4	Positive
prot-0614	prot-0616	170.0	1	4	Positive
prot-0659	prot-0661	125.0	1	4	Positive
prot-0735	prot-0736	244.0	1	4	Positive
prot-0776	prot-0779	299.0	1	4	Positive
prot-0829	prot-0832	63.0	1	4	Positive
prot-0860	prot-0862	64.0	1	4	Positive
prot-0018	prot-0198	54.0	1	4	Negative
prot-0035	prot-0071	43.0	1	4	Negative
prot-0056	prot-0826	36.0	1	4	Negative
prot-0075	prot-0561	116.0	1	4	Negative
prot-0093	prot-0091	55.0	1	4	Negative
prot-0110	prot-0613	67.0	1	4	Negative
prot-0131	prot-0547	119.0	1	4	Negative
prot-0148	prot-0369	34.0	1	4	Negative
prot-0166	prot-0839	49.0	1	4	Negative
prot-0186	prot-0014	31.0	1	4	Negative
prot-0206	prot-0313	122.0	1	4	Negative
prot-0228	prot-0121	44.0	1	4	Negative
prot-0244	prot-0817	68.0	1	4	Negative
prot-0262	prot-0540	140.0	1	4	Negative
prot-0286	prot-0641	92.0	1	4	Negative
prot-0305	prot-0785	109.0	1	4	Negative
prot-0326	prot-0712	56.0	1	4	Negative
prot-0346	prot-0063	55.0	1	4	Negative
prot-0363	prot-0345	32.0	1	4	Negative
prot-0380	prot-0553	138.0	1	4	Negative
prot-0397	prot-0470	131.0	1	4	Negative
prot-0414	prot-0903	64.0	1	4	Negative
prot-0431	prot-0093	52.0	1	4	Negative
prot-0446	prot-0424	124.0	1	4	Negative
prot-0469	prot-0609	127.0	1	4	Negative
prot-0486	prot-0314	58.0	1	4	Negative
prot-0503	prot-0454	81.0	1	4	Negative
prot-0520	prot-0088	101.0	1	4	Negative
prot-0536	prot-0452	167.0	1	4	Negative
prot-0552	prot-0460	85.0	1	4	Negative
prot-0571	prot-0711	205.0	1	4	Negative
prot-0595	prot-0503	100.0	1	4	Negative
prot-0616	prot-0819	93.0	1	4	Negative
prot-0631	prot-0386	85.0	1	4	Negative
prot-0648	prot-0022	56.0	1	4	Negative
prot-0665	prot-0100	67.0	1	4	Negative
prot-0682	prot-0873	33.0	1	4	Negative
prot-0699	prot-0760	88.0	1	4	Negative
prot-0716	prot-0710	67.0	1	4	Negative
prot-0734	prot-0108	53.0	1	4	Negative
prot-0750	prot-0875	24.0	1	4	Negative
prot-0772	prot-0886	33.0	1	4	Negative
prot-0791	prot-0245	128.0	1	4	Negative
prot-0805	prot-0261	99.0	1	4	Negative
prot-0821	prot-0591	141.0	1	4	Negative
prot-0843	prot-0026	56.0	1	4	Negative
prot-0860	prot-0510	47.0	1	4	Negative
prot-0878	prot-0524	23.0	1	4	Negative
prot-0900	prot-0264	45.0	1	4	Negative
prot-0915	prot-0407	76.0	1	4	Negative
prot-0004	prot-0008	71.0	1	5	Positive
prot-0031	prot-0034	82.0	1	5	Positive
prot-0047	prot-0050	84.0	1	5	Positive
prot-0065	prot-0069	89.0	1	5	Positive
prot-0077	prot-0082	141.0	1	5	Positive
prot-0098	prot-0102	47.0	1	5	Positive
prot-0124	prot-0125	217.0	1	5	Positive
prot-0166	prot-0177	60.0	1	5	Positive
prot-0170	prot-0173	59.0	1	5	Positive
prot-0175	prot-0178	66.0	1	5	Positive
prot-0187	prot-0190	91.0	1	5	Positive
prot-0240	prot-0242	78.0	1	5	Positive
prot-0271	prot-0275	169.0	1	5	Positive
prot-0298	prot-0300	125.0	1	5	Positive
prot-0326	prot-0327	105.0	1	5	Positive
prot-0354	prot-0355	102.0	1	5	Positive
prot-0357	prot-0360	94.0	1	5	Positive
prot-0361	prot-0364	227.0	1	5	Positive
prot-0369	prot-0370	160.0	1	5	Positive
prot-0380	prot-0384	184.0	1	5	Positive
prot-0384	prot-0392	161.0	1	5	Positive
prot-0410	prot-0412	132.0	1	5	Positive
prot-0459	prot-0461	124.0	1	5	Positive
prot-0465	prot-0466	124.0	1	5	Positive
prot-0484	prot-0485	75.0	1	5	Positive
prot-0507	prot-0509	85.0	1	5	Positive
prot-0533	prot-0534	173.0	1	5	Positive
prot-0570	prot-0572	147.0	1	5	Positive
prot-0580	prot-0615	84.0	1	5	Positive
prot-0582	prot-0586	81.0	1	5	Positive
prot-0583	prot-0598	119.0	1	5	Positive
prot-0584	prot-0611	120.0	1	5	Positive
prot-0586	prot-0590	124.0	1	5	Positive
prot-0587	prot-0606	113.0	1	5	Positive
prot-0589	prot-0591	120.0	1	5	Positive
prot-0590	prot-0610	89.0	1	5	Positive
prot-0592	prot-0601	147.0	1	5	Positive
prot-0594	prot-0596	123.0	1	5	Positive
prot-0595	prot-0620	103.0	1	5	Positive
prot-0597	prot-0621	63.0	1	5	Positive
prot-0600	prot-0605	67.0	1	5	Positive
prot-0602	prot-0616	89.0	1	5	Positive
prot-0605	prot-0615	76.0	1	5	Positive
prot-0609	prot-0611	155.0	1	5	Positive
prot-0614	prot-0616	160.0	1	5	Positive
prot-0659	prot-0661	114.0	1	5	Positive
prot-0735	prot-0736	226.0	1	5	Positive
prot-0776	prot-0779	291.0	1	5	Positive
prot-0829	prot-0832	57.0	1	5	Positive
prot-0860	prot-0862	60.0	1	5	Positive
prot-0018	prot-0198	51.0	1	5	Negative
prot-0035	prot-0071	42.0	1	5	Negative
prot-0056	prot-0826	33.0	1	5	Negative
prot-0075	prot-0561	105.0	1	5	Negative
prot-0093	prot-0091	52.0	1	5	Negative
prot-0110	prot-0613	60.0	1	5	Negative
prot-0131	prot-0547	112.0	1	5	Negative
prot-0148	prot-0369	33.0	1	5	Negative
prot-0166	prot-0839	47.0	1	5	Negative
prot-0186	prot-0014	32.0	1	5	Negative
prot-0206	prot-0313	114.0	1	5	Negative
prot-0228	prot-0121	40.0	1	5	Negative
prot-0244	prot-0817	61.0	1	5	Negative
prot-0262	prot-0540	129.0	1	5	Negative
prot-0286	prot-0641	86.0	1	5	Negative
prot-0305	prot-0785	98.0	1	5	Negative
prot-0326	prot-0712	56.0	1	5	Negative
prot-0346	prot-0063	53.0	1	5	Negative
prot-0363	prot-0345	32.0	1	5	Negative
prot-0380	prot-0553	130.0	1	5	Negative
prot-0397	prot-0470	122.0	1	5	Negative
prot-0414	prot-0903	60.0	1	5	Negative
prot-0431	prot-0093	48.0	1	5	Negative
prot-0446	prot-0424	119.0	1	5	Negative
prot-0469	prot-0609	119.0	1	5	Negative
prot-0486	prot-0314	55.0	1	5	Negative
prot-0503	prot-0454	72.0	1	5	Negative
prot-0520	prot-0088	94.0	1	5	Negative
prot-0536	prot-0452	148.0	1	5	Negative
prot-0552	prot-0460	82.0	1	5	Negative
prot-0571	prot-0711	193.0	1	5	Negative
prot-0595	prot-0503	98.0	1	5	Negative
prot-0616	prot-0819	88.0	1	5	Negative
prot-0631	prot-0386	83.0	1	5	Negative
prot-0648	prot-0022	54.0	1	5	Negative
prot-0665	prot-0100	65.0	1	5	Negative
prot-0682	prot-0873	32.0	1	5	Negative
prot-0699	prot-0760	81.0	1	5	Negative
prot-0716	prot-0710	64.0	1	5	Negative
prot-0734	prot-0108	50.0	1	5	Negative
prot-0750	prot-0875	24.0	1	5	Negative
prot-0772	prot-0886	33.0	1	5	Negative
prot-0791	prot-0245	125.0	1	5	Negative
prot-0805	prot-0261	91.0	1	5	Negative
prot-0821	prot-0591	133.0	1	5	Negative
prot-0843	prot-0026	56.0	1	5	Negative
prot-0860	prot-0510	45.0	1	5	Negative
prot-0878	prot-0524	23.0	1	5	Negative
prot-0900	prot-0264	42.0	1	5	Negative
prot-0915	prot-0407	73.0	1	5	Negative
prot-0004	prot-0008	113.0	2	1	Positive
prot-0031	prot-0034	111.0	2	1	Positive
prot-0047	prot-0050	118.0	2	1	Positive
prot-0065	prot-0069	116.0	2	1	Positive
prot-0077	prot-0082	164.0	2	1	Positive
prot-0098	prot-0102	50.0	2	1	Positive
prot-0124	prot-0125	296.0	2	1	Positive
prot-0166	prot-0177	82.0	2	1	Positive
prot-0170	prot-0173	97.0	2	1	Positive
prot-0175	prot-0178	83.0	2	1	Positive
prot-0187	prot-0190	112.0	2	1	Positive
prot-0240	prot-0242	104.0	2	1	Positive
prot-0271	prot-0275	224.0	2	1	Positive
prot-0298	prot-0300	135.0	2	1	Positive
prot-0326	prot-0327	142.0	2	1	Positive
prot-0354	prot-0355	167.0	2	1	Positive
prot-0357	prot-0360	111.0	2	1	Positive
prot-0361	prot-0364	326.0	2	1	Positive
prot-0369	prot-0370	217.0	2	1	Positive
prot-0380	prot-0384	298.0	2	1	Positive
prot-0384	prot-0392	286.0	2	1	Positive
prot-0410	prot-0412	190.0	2	1	Positive
prot-0459	prot-0461	187.0	2	1	Positive
prot-0465	prot-0466	191.0	2	1	Positive
prot-0484	prot-0485	113.0	2	1	Positive
prot-0507	prot-0509	143.0	2	1	Positive
prot-0533	prot-0534	267.0	2	1	Positive
prot-0570	prot-0572	188.0	2	1	Positive
prot-0580	prot-0615	135.0	2	1	Positive
prot-0582	prot-0586	121.0	2	1	Positive
prot-0583	prot-0598	155.0	2	1	Positive
prot-0584	prot-0611	168.0	2	1	Positive
prot-0586	prot-0590	165.0	2	1	Positive
prot-0587	prot-0606	176.0	2	1	Positive
prot-0589	prot-0591	228.0	2	1	Positive
prot-0590	prot-0610	125.0	2	1	Positive
prot-0592	prot-0601	232.0	2	1	Positive
prot-0594	prot-0596	159.0	2	1	Positive
prot-0595	prot-0620	155.0	2	1	Positive
prot-0597	prot-0621	106.0	2	1	Positive
prot-0600	prot-0605	99.0	2	1	Positive
prot-0602	prot-0616	105.0	2	1	Positive
prot-0605	prot-0615	103.0	2	1	Positive
prot-0609	prot-0611	203.0	2	1	Positive
prot-0614	prot-0616	195.0	2	1	Positive
prot-0659	prot-0661	131.0	2	1	Positive
prot-0735	prot-0736	300.0	2	1	Positive
prot-0776	prot-0779	312.0	2	1	Positive
prot-0829	prot-0832	82.0	2	1	Positive
prot-0860	prot-0862	71.0	2	1	Positive
prot-0018	prot-0198	80.0	2	1	Negative
prot-0035	prot-0071	72.0	2	1	Negative
prot-0056	prot-0826	38.0	2	1	Negative
prot-0075	prot-0561	175.0	2	1	Negative
prot-0093	prot-0091	63.0	2	1	Negative
prot-0110	prot-0613	87.0	2	1	Negative
prot-0131	prot-0547	147.0	2	1	Negative
prot-0148	prot-0369	36.0	2	1	Negative
prot-0166	prot-0839	74.0	2	1	Negative
prot-0186	prot-0014	38.0	2	1	Negative
prot-0206	prot-0313	166.0	2	1	Negative
prot-0228	prot-0121	44.0	2	1	Negative
prot-0244	prot-0817	90.0	2	1	Negative
prot-0262	prot-0540	171.0	2	1	Negative
prot-0286	prot-0641	114.0	2	1	Negative
prot-0305	prot-0785	112.0	2	1	Negative
prot-0326	prot-0712	77.0	2	1	Negative
prot-0346	prot-0063	59.0	2	1	Negative
prot-0363	prot-0345	39.0	2	1	Negative
prot-0380	prot-0553	203.0	2	1	Negative
prot-0397	prot-0470	192.0	2	1	Negative
prot-0414	prot-0903	74.0	2	1	Negative
prot-0431	prot-0093	66.0	2	1	Negative
prot-0446	prot-0424	180.0	2	1	Negative
prot-0469	prot-0609	175.0	2	1	Negative
prot-0486	prot-0314	67.0	2	1	Negative
prot-0503	prot-0454	126.0	2	1	Negative
prot-0520	prot-0088	133.0	2	1	Negative
prot-0536	prot-0452	212.0	2	1	Negative
prot-0552	prot-0460	94.0	2	1	Negative
prot-0571	prot-0711	250.0	2	1	Negative
